Stock,Current Price,Previous Close,Volume,Market Cap,Day High,Day Low,52W High,52W Low,1M Return,3M Return,6M Return,RSI,SMA20,SMA50,MACD,ATR,Institutional Score,Confidence,Buy Probability,Composite Score,Trade Signal,Sector,Sector Rank,Sector Percentile,Market Leader,Relative Strength Score,Elite Stock
BLISSGVS.NS,283.35,282.8,530823,29975305861.884644,284.8999938964844,278.54998779296875,296.29998779296875,118.0,9.48,32.56,75.39,60.94,274.74,247.88,9.48,12.31,73,69.35,65.88,69.41,WATCH,Unknown,13.0,94.44,YES,42.77,NO
ADANIENT.NS,2703.9,2725.0,972359,3519648830191.0977,2720.0,2685.10009765625,2803.10009765625,1753.0,21.47,21.01,10.54,71.7,2501.15,2199.68,139.94,86.55,73,69.35,65.88,69.41,WATCH,Unknown,13.0,94.44,YES,16.96,NO
BAJAJCON.NS,544.1,526.75,613689,71069425267.17615,551.7000122070312,519.0,560.2999877929688,168.25,18.57,39.87,95.47,66.56,498.15,430.08,30.57,27.46,73,69.35,65.88,69.41,WATCH,Unknown,13.0,94.44,YES,55.72,NO
ATHERENERG.NS,908.55,910.3,2626726,347958778407.7202,916.0499877929688,873.5999755859375,989.4000244140625,301.0,1.39,26.85,30.35,52.18,925.3,839.0,20.85,41.81,73,69.35,65.88,69.41,WATCH,Unknown,13.0,94.44,YES,20.61,NO
APOLLOPIPE.NS,513.85,509.1,437528,22567960008.350098,514.5999755859375,499.0,540.1500244140625,252.10000610351562,14.47,65.49,70.04,66.27,471.8,442.47,20.51,24.15,73,69.35,65.88,69.41,WATCH,Unknown,13.0,94.44,YES,52.0,NO
BAJAJ-AUTO.NS,10423.5,10205.0,274130,2910988908925.5,10437.0,10078.5,10785.0,7858.5,6.44,5.61,16.08,59.93,10126.95,9626.22,209.67,256.0,73,69.35,65.88,69.41,WATCH,Unknown,13.0,94.44,YES,10.05,NO
ANANDRATHI.NS,3503.9,3566.7,491208,290887701462.9419,3567.5,3480.10009765625,3735.0,1810.0,-4.18,18.47,22.31,47.89,3577.31,3375.49,38.43,80.57,71,67.45,64.08,67.51,WATCH,Unknown,14.0,93.41,YES,13.21,NO
ARVIND.NS,488.7,485.8,915872,128095427767.6416,498.75,477.45001220703125,489.8999938964844,274.79998779296875,25.4,36.13,36.32,80.41,423.62,387.58,25.7,19.24,71,67.45,64.08,67.51,WATCH,Unknown,14.0,93.41,YES,32.99,NO
ATGL.NS,610.75,623.3,2147976,671434055671.5,617.9500122070312,601.0999755859375,798.0,462.79998779296875,-0.63,12.63,0.28,50.09,628.71,580.45,7.0,26.21,70,66.5,63.17,66.56,WATCH,Unknown,15.0,92.51,YES,3.71,NO
AVALON.NS,1453.6,1356.7,4118211,97082594728.64099,1499.0,1335.0999755859375,1427.800048828125,777.2999877929688,34.07,38.0,43.69,74.14,1208.43,1069.47,90.22,79.81,70,66.5,63.17,66.56,WATCH,Unknown,15.0,92.51,YES,39.1,NO
ABCAPITAL.NS,345.0,351.2,5470687,904181139810.0,354.45001220703125,342.79998779296875,375.95001220703125,213.10000610351562,0.12,0.22,5.23,49.17,350.51,333.51,3.72,11.22,70,66.5,63.17,66.56,WATCH,Unknown,15.0,92.51,YES,2.19,NO
AGIIL.NS,380.35,381.35,2739756,47542757288.72351,400.8999938964844,375.1499938964844,434.3999938964844,162.5800018310547,3.93,54.21,34.71,53.37,379.25,345.39,10.83,25.07,70,66.5,63.17,66.56,WATCH,Unknown,15.0,92.51,YES,31.33,NO
BHARTIARTL.NS,1904.4,1913.5,4092331,11600598699941.168,1914.0,1897.699951171875,2174.5,1740.5,2.66,-5.35,-11.76,57.48,1848.0,1837.86,12.98,43.15,70,66.5,63.17,66.56,WATCH,Unknown,15.0,92.51,YES,-5.51,NO
BELRISE.NS,209.81,209.27,1069001,186705551100.96338,212.0,205.0500030517578,228.8000030517578,89.1500015258789,-4.22,9.38,27.93,49.75,214.14,202.72,1.27,7.34,68,64.6,61.37,64.66,HOLD,Unknown,16.0,91.47,YES,12.72,NO
AJANTPHARM.NS,3195.9,3248.2,33561,399281748540.85547,3258.0,3190.0,3314.89990234375,2329.89990234375,14.5,9.91,27.29,64.56,2997.03,2923.56,101.09,93.9,68,64.6,61.37,64.66,HOLD,Unknown,16.0,91.47,YES,18.24,NO
ATLANTAELE.NS,1639.2,1582.9,188741,126048943945.28198,1662.0,1568.199951171875,1901.800048828125,707.5999755859375,18.28,81.64,69.7,53.93,1692.74,1374.32,84.9,99.11,68,64.6,61.37,64.66,HOLD,Unknown,16.0,91.47,YES,57.86,NO
ASTRAMICRO.NS,1140.4,1092.7,480334,108275289441.19336,1150.9000244140625,1070.0999755859375,1195.9000244140625,851.0,2.64,26.94,14.81,59.92,1117.97,1039.04,19.31,41.48,66,62.7,59.56,62.75,HOLD,Unknown,17.0,90.57,YES,14.8,NO
